stop_id,stop_name,stop_lat,stop_lon
Baegd741,GEROMPONT Avenue des DǸportǸs 74,50.651957,4.890238
Baegd742,GEROMPONT Avenue des DǸportǸs 74,50.651979,4.8901
Baegegl1,AUTRE-EGLISE Eglise,50.663006,4.923742
Baegegl2,AUTRE-EGLISE Eglise,50.663072,4.923668
Baeggar1,AUTRE-EGLISE Gare,50.663871,4.918392
Baeggar2,AUTRE-EGLISE Gare,50.663952,4.918374
Baegm501,AUTRE-EGLISE Rue de la MǦlǸe 50,50.659472,4.909393
Baegm502,AUTRE-EGLISE Rue de la MǦlǸe 50,50.659817,4.909815
Baegpon1,AUTRE-EGLISE Pont (Rue de la Gare),50.655287,4.898794
Baegpon2,AUTRE-EGLISE Pont (Rue de la Gare),50.655417,4.89932
Baegpon3,AUTRE-EGLISE Pont (Ch. Rowart),50.654906,4.897708
Baegpon4,AUTRE-EGLISE Pont (Ch. Rowart),50.654849,4.897877
Baisbar1,AISCHE-EN-REFAIL Baraque,50.598664,4.823755
Balsbeg1,ALSEMBERG Begraafplaats van Vorst,50.755765,4.332129
Balsbeg2,ALSEMBERG Begraafplaats van Vorst,50.75634,4.331835
Balsnay1,ALSEMBERG Genstberg,50.746639,4.332376
Balsnay2,ALSEMBERG Genstberg,50.746507,4.332114
Balsnie1,ALSEMBERG Grootevelde,50.74951,4.333963
Balsnie2,ALSEMBERG Grootevelde,50.749572,4.333816
Balssvi1,ALSEMBERG Sint-Victor,50.74178,4.334454
Balssvi2,ALSEMBERG Sint-Victor,50.7417,4.334437
Balswin2,ALSEMBERG Winderickxplein,50.739697,4.337933
Balswin3,ALSEMBERG Winderickxplein,50.739739,4.338127
Balswsa1,ALSEMBERG Rondenbos,50.751617,4.333343
Balswsa2,ALSEMBERG Rondenbos,50.75161,4.333215
Barcast1,ARCHENNES Ancienne Station,50.747806,4.69168
Barcast2,ARCHENNES Ancienne Station,50.747729,4.691642
Barcbav1,ARCHENNES Bavay,50.749926,4.686037
Barcbav2,ARCHENNES Bavay,50.749856,4.685973
Barchez1,ARCHENNES HǸzidelle,50.753358,4.666983
Barchez2,ARCHENNES HǸzidelle,50.753238,4.667087
Barchoc1,ARCHENNES Hocaille,50.751482,4.672244
Barchoc2,ARCHENNES Hocaille,50.7514,4.672246
Barcpre1,ARCHENNES PrǸval,50.751069,4.680098
Barcpre2,ARCHENNES PrǸval,50.750923,4.680298
Barcsta1,ARCHENNES Station,50.754408,4.662788
Barcsta2,ARCHENNES Station,50.754332,4.662745
Barqbar1,ARQUENNES Bois d'Arpes,50.578466,4.295791
Barqbar2,ARQUENNES Bois d'Arpes,50.578529,4.296069
Barqbco1,ARQUENNES Bon Conseil,50.571325,4.283131
Barqbco2,ARQUENNES Bon Conseil,50.571563,4.284425
Barqhpe1,ARQUENNES Hameau Petit,50.572695,4.289281
Barqhpe2,ARQUENNES Hameau Petit,50.572598,4.289478
Barqhro1,ARQUENNES Hameau Roland,50.56084,4.278228
Barqhro2,ARQUENNES Hameau Roland,50.561444,4.2789
Barqhro4,ARQUENNES Hameau Roland,50.561425,4.277202
Barqpla1,ARQUENNES Place,50.567303,4.274677
Barqpla2,ARQUENNES Place,50.567263,4.274804
Barqpwa1,ARQUENNES Pont de Warchais,50.566122,4.28208
Barqpwa2,ARQUENNES Pont de Warchais,50.565715,4.282026
Barqres1,ARQUENNES RǸsidence,50.569703,4.285872
Barqres2,ARQUENNES RǸsidence,50.569619,4.286054
Bauddel1,AUDERGHEM MǸtro Delta,50.818178,4.404453
Bauddel2,AUDERGHEM MǸtro Delta,50.81746,4.405233
Baudhan1,AUDERGHEM Hankar,50.821893,4.405377
Baudhan2,AUDERGHEM Hankar,50.82182,4.405319
Baudhde1,AUDERGHEM Herrmann-Debroux,50.81251,4.428119
Baudhde2,AUDERGHEM Herrmann-Debroux,50.812303,4.429069
Baudsju1,AUDERGHEM Eglise Saint-Julien,50.821073,4.408217
Baudsju2,AUDERGHEM Eglise Saint-Julien,50.820602,4.409496
Baudsta2,AUDERGHEM Rouge-Cloitre,50.811473,4.439553
Baudstr1,AUDERGHEM StratǸgie,50.824007,4.400848
Baudstr2,AUDERGHEM StratǸgie,50.824113,4.400498
Baudtri1,AUDERGHEM Triomphe,50.817129,4.400229
