stop_id,stop_name,stop_lat,stop_lon
S8811007,Schaerbeek,50.87851,4.37864
S8811106,Evere,50.867784,4.400963
S8811130,Haren-Sud,50.889694,4.415358
S8811148,Buda,50.907496,4.417075
S8811155,Haren,50.888879,4.41998
S8811163,Bordet,50.877787,4.410024
S8811171,Meiser,50.854071,4.394424
S8811189,Vilvorde,50.924581,4.432826
S8811197,Mérode,50.839282,4.398932
S8811205,Delta,50.818362,4.403871
S8811213,Diegem,50.890481,4.442773
S8811221,Zaventem,50.88572,4.46989
S8811247,Nossegem,50.88331,4.50611
S8811254,Kortenberg,50.89307,4.5433
S8811262,Erps-Kwerps,50.89651,4.585
S8811270,Veltem,50.90052,4.63352
S8811288,Herent,50.90353,4.67219
S8811304,Bruxelles-Luxembourg,50.83894,4.373676
S8811403,Germoir,50.83,4.379444
S8811411,Etterbeek,50.822191,4.389517
S8811429,Watermael,50.809175,4.399885
S8811437,Boitsfort,50.794698,4.408114
S8811445,Groenendaal,50.766103,4.44949
S8811460,Hoeilaart,50.76016,4.46741
S8811510,La Hulpe,50.73796,4.49706
S8811528,Genval,50.725697,4.514834
S8811536,Rixensart,50.71141,4.53286
S8811544,Profondsart,50.699653,4.545435
S8811601,Ottignies,50.67367,4.56936
S8811635,Limal,50.69214,4.5753
S8811676,Louvain-la-Neuve,50.669795,4.615746
S8811718,Bierges-Walibi,50.70777,4.59475
S8811726,Wavre,50.71627,4.60478
S8811734,Basse-Wavre,50.724421,4.621653
S8811742,Gastuche,50.73665,4.6496
S8811759,Archennes,50.754347,4.662441
S8811767,Florival,50.7615,4.65387
S8811775,Pécrot,50.778516,4.651483
S8811817,Céroux-Mousty,50.659944,4.569049
S8811825,Court-Saint-Etienne,50.64557,4.56582
S8811916,Bruxelles-Schuman,50.84328,4.380725
S8811940,Anderlecht,50.8179,4.2918
S8812005,Bruxelles-Nord,50.85966,4.36085
S8812013,Simonis,50.863645,4.328982
S8812021,Bockstael,50.87943,4.34851
S8812047,Jette,50.880832,4.326218
S8812062,Zellik,50.890032,4.274546
S8812070,Asse,50.906485,4.207988
S8812112,Mollem,50.933475,4.216967
S8812120,Merchtem,50.954954,4.222719
S8812146,Opwijk,50.974776,4.187317
